epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,618.722,0.35167,0.88636,0.88186,0.97384,0.96639,0.97814,0.94267,0.27088,0.47207,0.86453,0.000152848,0.000152848,0.000152848
141,623.203,0.36478,0.92122,0.89217,0.96907,0.95567,0.97714,0.94229,0.27675,0.48289,0.86461,0.00015035,0.00015035,0.00015035
142,627.436,0.35179,0.80636,0.88336,0.97481,0.94904,0.97139,0.94044,0.25241,0.52339,0.85824,0.000147853,0.000147853,0.000147853
143,631.768,0.37537,0.90172,0.87644,0.97476,0.94878,0.97135,0.93676,0.25634,0.54778,0.85626,0.000145355,0.000145355,0.000145355
144,635.916,0.36963,0.80626,0.89352,0.97293,0.94978,0.97514,0.94152,0.26115,0.50061,0.85867,0.000142858,0.000142858,0.000142858
145,640.341,0.36726,0.91317,0.89621,0.95865,0.97911,0.97704,0.94261,0.25609,0.46614,0.85863,0.00014036,0.00014036,0.00014036
146,644.814,0.36233,0.86487,0.90994,0.97083,0.98182,0.97704,0.94019,0.25578,0.4381,0.86011,0.000137862,0.000137862,0.000137862
147,649.002,0.37536,0.85438,0.89141,0.9737,0.96908,0.97985,0.9419,0.26741,0.47714,0.86391,0.000135365,0.000135365,0.000135365
148,653.541,0.37026,0.823,0.90044,0.93947,0.92945,0.97843,0.934,0.28428,0.70588,0.86786,0.000132868,0.000132868,0.000132868
149,657.682,0.34976,0.798,0.87072,0.95607,0.96382,0.99021,0.9488,0.27084,0.49479,0.86299,0.00013037,0.00013037,0.00013037
150,662.331,0.36586,0.87165,0.88774,0.95359,0.97228,0.98683,0.94936,0.25886,0.47666,0.86011,0.000127872,0.000127872,0.000127872
151,666.694,0.37277,0.91719,0.88211,0.96479,0.96848,0.98028,0.94468,0.25187,0.45064,0.85871,0.000125375,0.000125375,0.000125375
152,670.87,0.33118,0.77843,0.87304,0.96773,0.97674,0.98363,0.95058,0.24611,0.44188,0.85749,0.000122878,0.000122878,0.000122878
153,675.153,0.35488,0.88162,0.88628,0.97799,0.98182,0.97835,0.94171,0.25534,0.45047,0.85971,0.00012038,0.00012038,0.00012038
154,679.298,0.3871,0.83301,0.90282,0.97375,0.97824,0.97804,0.94525,0.25372,0.44013,0.85913,0.000117882,0.000117882,0.000117882
155,683.725,0.35722,0.82131,0.88977,0.97758,0.96881,0.97886,0.9443,0.25816,0.46592,0.85862,0.000115385,0.000115385,0.000115385
156,687.901,0.38943,0.9309,0.88105,0.97806,0.97077,0.98257,0.94845,0.247,0.42693,0.85544,0.000112887,0.000112887,0.000112887
157,692.067,0.37088,0.79736,0.89095,0.97779,0.98182,0.97949,0.94421,0.25021,0.46423,0.85679,0.00011039,0.00011039,0.00011039
158,696.547,0.35485,0.76117,0.88203,0.97274,0.98123,0.97949,0.94772,0.26284,0.50054,0.8624,0.000107892,0.000107892,0.000107892
159,700.94,0.38994,0.82864,0.90123,0.97189,0.97869,0.97562,0.93871,0.25365,0.49678,0.8588,0.000105395,0.000105395,0.000105395
160,705.361,0.35843,0.77282,0.8833,0.97072,0.97392,0.97348,0.93955,0.24603,0.51321,0.85531,0.000102897,0.000102897,0.000102897
161,709.527,0.37757,0.80821,0.91303,0.96519,0.97933,0.97476,0.9395,0.2547,0.51474,0.85923,0.0001004,0.0001004,0.0001004
162,714.045,0.3772,0.77552,0.88662,0.97376,0.97294,0.97476,0.93269,0.25437,0.47961,0.85756,9.79025e-05,9.79025e-05,9.79025e-05
163,718.118,0.38172,0.79844,0.90107,0.97938,0.96691,0.97539,0.93695,0.24609,0.47143,0.85526,9.5405e-05,9.5405e-05,9.5405e-05
164,722.606,0.37217,0.7979,0.88622,0.96591,0.97805,0.98414,0.95158,0.24312,0.46823,0.85441,9.29075e-05,9.29075e-05,9.29075e-05
165,726.899,0.35944,0.81419,0.8872,0.97604,0.98182,0.99009,0.95624,0.23884,0.40012,0.85295,9.041e-05,9.041e-05,9.041e-05
166,731.13,0.35515,0.7673,0.88818,0.97924,0.98182,0.98691,0.94788,0.24466,0.4046,0.8547,8.79125e-05,8.79125e-05,8.79125e-05
167,735.561,0.3661,0.76394,0.89308,0.97748,0.98182,0.98314,0.94499,0.24361,0.42305,0.85428,8.5415e-05,8.5415e-05,8.5415e-05
168,739.713,0.38103,0.73886,0.89663,0.97787,0.98182,0.98261,0.95011,0.24219,0.43802,0.85303,8.29175e-05,8.29175e-05,8.29175e-05
169,744.304,0.37884,0.73166,0.89948,0.97521,0.98059,0.98436,0.95072,0.24927,0.43326,0.85468,8.042e-05,8.042e-05,8.042e-05
170,748.394,0.33,0.71504,0.86085,0.96761,0.98182,0.98509,0.95173,0.25066,0.4395,0.85543,7.79225e-05,7.79225e-05,7.79225e-05
171,752.666,0.35501,0.72117,0.88569,0.97217,0.98182,0.99123,0.95635,0.24648,0.4197,0.85475,7.5425e-05,7.5425e-05,7.5425e-05
